"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Rondon,Roxa,Mecanizada,8.250,10.700,14.500,14.500,14.500,15.702,20.661,24.793,24.793,33.057
,,Mecanizável,7.200,9.000,9.000,9.000,9.000,10.331,14.050,16.860,16.860,27.767
,,Não Mecanizável,,5.000,5.000,5.000,5.000,6.198,8.471,10.165,10.165,15.206
,,Inaproveitáveis,,,,,,,,,3.720,9.561
,,,,,,,,,,,,
,Mista,Mecanizada,7.225,9.000,11.000,10.330,10.330,11.570,18.595,16.860,20.661,27.900
,,Mecanizável,6.200,7.000,6.500,6.500,6.500,8.264,12.719,13.430,13.430,23.436
,,Não Mecanizável,,6.000,6.000,6.000,6.000,6.612,8.368,9.298,9.298,12.834
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
,Arenosa,Mecanizada,6.200,7.200,8.200,8.246,8.300,9.091,15.702,18.595,18.595,25.028
,,Mecanizável,5.000,6.200,6.000,6.000,6.000,7.438,12.719,13.017,13.017,21.023
,,Não Mecanizável,,5.000,5.000,5.000,5.000,6.198,7.380,8.740,8.740,11.512
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
Rosário do Ivaí,Mista,Mecanizada,4.400,4.800,5.280,5.280,5.592,6.430,10.348,13.217,15.500,22.300
,,Mecanizável,3.300,3.600,3.960,3.960,4.194,4.823,7.606,6.720,12.300,16.700
,,Não Mecanizável,2.520,2.700,2.970,2.970,3.146,3.617,5.943,5.970,7.200,10.300
,,Inaproveitáveis,1.458,1.600,1.760,1.760,1.864,2.143,2.507,2.890,3.300,4.300
,,,,,,,,,,,,
Sabáudia,Roxa,Mecanizada,11.350,13.600,13.800,15.500,17.500,21.700,23.440,28.200,33.500,36.500
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,5.370,6.800,7.000,8.000,9.000,10.000,10.800,12.400,14.600,16.000
,,Inaproveitáveis,1.500,1.500,1.500,2.000,2.200,2.200,2.380,3.120,5.000,5.500
,,,,,,,,,,,,
,Mista,Mecanizada,11.300,13.300,13.500,15.500,17.000,20.700,22.560,28.200,33.500,36.500
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,5.370,6.800,7.000,8.000,9.000,10.000,10.800,12.400,14.600,16.000
,,Inaproveitáveis,,,,,,2.000,2.160,3.120,5.000,5.500
,,,,,,,,,,,,
Salgado Filho,Mista,Mecanizada,8.500,12.000,13.920,14.000,16.000,17.200,22.000,28.000,30.000,38.000
Mecanizável,,7.000,,,,,17.600,28.800,23.000,30.000,,
Não Mecanizável,2.900,4.000,4.500,4.600,5.800,7.300,10.000,12.000,12.200,14.000,,
Inaproveitáveis,680,850,900,1.000,1.100,1.300,1.320,1.500,1.600,2.000,,
,,,,,,,,,,,,
